fk_euv,fecha_recepcion,fecha_hechos,SubtipoOrd,dependencia,pk_dependencia,MunHecho
3117200208,30/12/2015,09/10/2015,Seleccione,PODER JUDICIAL,176,Kanasín
3163900001,11/08/2016,21/10/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900002,11/08/2016,25/10/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900003,11/08/2016,28/10/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900004,11/08/2016,11/11/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900005,11/08/2016,04/12/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900006,11/08/2016,09/01/2014,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900007,11/08/2016,06/02/2014,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900008,11/08/2016,12/02/2014,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900009,11/08/2016,12/02/2014,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3163900010,11/08/2016,10/07/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE KANASIN,639,Kanasín
3164000001,11/08/2016,24/05/2012,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Motul
3164000002,11/08/2016,01/05/2013,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Cacalchén
3164000003,11/08/2016,01/11/2013,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Yobaín
3164000004,11/08/2016,20/06/2013,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Motul
3164000005,11/08/2016,28/11/2013,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Motul
3164000006,11/08/2016,22/11/2013,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE MOTUL,640,Motul
3164100001,11/08/2016,07/02/2013,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,Halachó
3164100002,11/08/2016,26/12/2012,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,Kanasín
3164100003,11/08/2016,18/09/2009,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,Mérida
3164100004,11/08/2016,11/01/2011,Preventiva,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,
3164100005,11/08/2016,18/11/2012,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,Halachó
3164100006,11/08/2016,21/01/2014,Emergencia,TSJ-JUZGADO MIXTO CIVIL Y FAMILIAR DE UMAN,641,Muna
